model,dataset,grade,performance,format,system_prompt,problem,model_response,parsed_answer,is_correct
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
claude-sonnet-4-20250514,fraction,6th,below-average,direct,"You are a student in 6th grade who is below-average at math, solving fraction arithmetic problems. Do not use a calculator. End with 'Answer: <answer>'.",3/5+1/5,"I need to add 3/5 + 1/5.

Since both fractions have the same denominator (5), I can just add the numerators together and keep the same denominator.

3/5 + 1/5 = (3 + 1)/5 = 4/5

Answer: 4/5",4/5,True
