subjid,prob,resp,strategy,instruction_nl,response_nl
620,3/5+2/5,5/10,"I took 3 plus 2 and got 5, and 5 plus 5 and got 10, which is 5/10",Solve this fraction problem: 3/5+2/5=?,"I took 3 plus 2 and got 5, and 5 plus 5 and got 10, which is 5/10
### answer: 5/10"
620,3/5+1/2,4/7,"I took 3 plus 1 equals 4, and 5 plus 2 equals 7, and I got 4/7",Solve this fraction problem: 3/5+1/2=?,"I took 3 plus 1 equals 4, and 5 plus 2 equals 7, and I got 4/7
### answer: 4/7"
620,3/5:1/2,3/7,"I took 3 divided by 1 and got 3, 5 divided by 2 and got 7",Solve this fraction problem: 3/5:1/2=?,"I took 3 divided by 1 and got 3, 5 divided by 2 and got 7
### answer: 3/7"
620,3/5:2/5,1/2,"I took 3 divided by 2 and got 1, and 5 divided by 5 and got 2",Solve this fraction problem: 3/5:2/5=?,"I took 3 divided by 2 and got 1, and 5 divided by 5 and got 2
### answer: 1/2"
620,3/5*2/5,6/25,"I multiplied 3 times 2 and got 6, and 5 times 5 and got 25, and my answer was 6/25",Solve this fraction problem: 3/5*2/5=?,"I multiplied 3 times 2 and got 6, and 5 times 5 and got 25, and my answer was 6/25
### answer: 6/25"
620,3/5*1/2,3/10,"I did 3 times 1 which equaled 3, and 5 times 2 and it'd equal 10, and my answer was 3/10",Solve this fraction problem: 3/5*1/2=?,"I did 3 times 1 which equaled 3, and 5 times 2 and it'd equal 10, and my answer was 3/10
### answer: 3/10"
620,3/5-2/5,1/9,"I subtracted 3-2 and got 1, then 5-5 and got 0",Solve this fraction problem: 3/5-2/5=?,"I subtracted 3-2 and got 1, then 5-5 and got 0
### answer: 1/9"
620,3/5-1/2,2/3,"I subtracted 3 and 1 and got 2, and 5 and 2 and got 3",Solve this fraction problem: 3/5-1/2=?,"I subtracted 3 and 1 and got 2, and 5 and 2 and got 3
### answer: 2/3"
622,3/5+2/5,5/5,3 plus 2 is 5. If the denominators are the same you don't do anything to them. That is an improper fraction.,Solve this fraction problem: 3/5+2/5=?,"3 plus 2 is 5. If the denominators are the same you don't do anything to them. That is an improper fraction.
### answer: 5/5"
622,3/5+1/2,4/7,"3 plus 1 is 4, and 5 plus 2 is 7. I know this is wrong, but I don't know how it works.",Solve this fraction problem: 3/5+1/2=?,"3 plus 1 is 4, and 5 plus 2 is 7. I know this is wrong, but I don't know how it works.
### answer: 4/7"
622,3/5:1/2,44/4,I forget this. I dont know. I have no clue what I did or how I did it.,Solve this fraction problem: 3/5:1/2=?,"I forget this. I dont know. I have no clue what I did or how I did it.
### answer: 44/4"
622,3/5:2/5,1/5,"I know that 5 divided by 2 is 1, and 5 and 5 are the same, so you keep it the same",Solve this fraction problem: 3/5:2/5=?,"I know that 5 divided by 2 is 1, and 5 and 5 are the same, so you keep it the same
### answer: 1/5"
622,3/5*2/5,5/5,"The numerator stays the same and the 3, or no it's timed, I added but I should have multiplied. The bottom number, if both of the numbers are the same, it just stays the same way, but you multiply the top numbers",Solve this fraction problem: 3/5*2/5=?,"The numerator stays the same and the 3, or no it's timed, I added but I should have multiplied. The bottom number, if both of the numbers are the same, it just stays the same way, but you multiply the top numbers
### answer: 5/5"
622,3/5*1/2,10 3/3,"I've done this before, but I forget, I know how it works whenever you use fractions, but I forget how it works whenever you're doing improper fractions",Solve this fraction problem: 3/5*1/2=?,"I've done this before, but I forget, I know how it works whenever you use fractions, but I forget how it works whenever you're doing improper fractions
### answer: 10 3/3"
622,3/5-2/5,1/9,"I have never subtracted fractions before, so I'm probably going to do the same thing as the number line and guess. I know that the fraction is 5 minus 5 which is 0, but it wouldn't let me type that in so I put 9, but it's 0, and 3 minus 2 is 1, and I know this is an improper fraction but I again forget how this works.",Solve this fraction problem: 3/5-2/5=?,"I have never subtracted fractions before, so I'm probably going to do the same thing as the number line and guess. I know that the fraction is 5 minus 5 which is 0, but it wouldn't let me type that in so I put 9, but it's 0, and 3 minus 2 is 1, and I know this is an improper fraction but I again forget how this works.
### answer: 1/9"
622,3/5-1/2,2/3,"I subtracted 3 and 1 which is 2, and 5 and 2 which is 3",Solve this fraction problem: 3/5-1/2=?,"I subtracted 3 and 1 which is 2, and 5 and 2 which is 3
### answer: 2/3"
623,3/5+2/5,5/10,"I found my common denominator and it was 10, and then I added 3 plus 2 and that was 5",Solve this fraction problem: 3/5+2/5=?,"I found my common denominator and it was 10, and then I added 3 plus 2 and that was 5
### answer: 5/10"
623,3/5+1/2,4/10,"I added 3 plus 1 and got 4, and I found the common denominator and it was 10",Solve this fraction problem: 3/5+1/2=?,"I added 3 plus 1 and got 4, and I found the common denominator and it was 10
### answer: 4/10"
623,3/5:1/2,3/10,"I found my common denominator, 10, and then I divided 1 divided by 3 and got 3",Solve this fraction problem: 3/5:1/2=?,"I found my common denominator, 10, and then I divided 1 divided by 3 and got 3
### answer: 3/10"
623,3/5:2/5,0/5,"I put as my denominator 5 because that was my common denominator, and then 3 can't go in 2 and 2 can't go into 3 for my numerator so I just put 0",Solve this fraction problem: 3/5:2/5=?,"I put as my denominator 5 because that was my common denominator, and then 3 can't go in 2 and 2 can't go into 3 for my numerator so I just put 0
### answer: 0/5"
623,3/5*2/5,1 1/5,"I got my common denominator of 5 and numerator of 6, and then I changed the 6 into a whole number and made the numerator a 1",Solve this fraction problem: 3/5*2/5=?,"I got my common denominator of 5 and numerator of 6, and then I changed the 6 into a whole number and made the numerator a 1
### answer: 1 1/5"
623,3/5*1/2,3/10,I found my common denominator which was 10 and then I multiplied 3 times 1 and got 3,Solve this fraction problem: 3/5*1/2=?,"I found my common denominator which was 10 and then I multiplied 3 times 1 and got 3
### answer: 3/10"
623,3/5-2/5,1/5,"I found my common denominator and it was 5, and then I subtracted 3 minus 2 and got 1",Solve this fraction problem: 3/5-2/5=?,"I found my common denominator and it was 5, and then I subtracted 3 minus 2 and got 1
### answer: 1/5"
623,3/5-1/2,2/10,"I found my common denominator of 10, and then subtracted 3 minus 1 and got 2",Solve this fraction problem: 3/5-1/2=?,"I found my common denominator of 10, and then subtracted 3 minus 1 and got 2
### answer: 2/10"
624,3/5+2/5,1,"I added the numerators together, then I realized that was wrong",Solve this fraction problem: 3/5+2/5=?,"I added the numerators together, then I realized that was wrong
### answer: 1"
624,3/5+1/2,1 1/10,I did addition,Solve this fraction problem: 3/5+1/2=?,"I did addition
### answer: 1 1/10"
624,3/5:1/2,12,"I turned the fractions into decimals, and thn divided",Solve this fraction problem: 3/5:1/2=?,"I turned the fractions into decimals, and thn divided
### answer: 12"
624,3/5:2/5,15,"I turned the fractions into decimals, and thn divided",Solve this fraction problem: 3/5:2/5=?,"I turned the fractions into decimals, and thn divided
### answer: 15"
624,3/5*2/5,6/10,I just did multiplication,Solve this fraction problem: 3/5*2/5=?,"I just did multiplication
### answer: 6/10"
624,3/5*1/2,30/100,"I had to bring the fractions up, then multiply",Solve this fraction problem: 3/5*1/2=?,"I had to bring the fractions up, then multiply
### answer: 30/100"
624,3/5-2/5,1/5,I subtracted the numerators and got the denominators,Solve this fraction problem: 3/5-2/5=?,"I subtracted the numerators and got the denominators
### answer: 1/5"
624,3/5-1/2,1/10,"I got the denominators to the same thing by multiplying, and then I did the subtraction",Solve this fraction problem: 3/5-1/2=?,"I got the denominators to the same thing by multiplying, and then I did the subtraction
### answer: 1/10"
629,3/5+2/5,5/5,"I chose 5/5 because 3 plus 2 is 5, and I remembering hearing something stays the same, and I'm guessing that's the bottom one so I chose 5",Solve this fraction problem: 3/5+2/5=?,"I chose 5/5 because 3 plus 2 is 5, and I remembering hearing something stays the same, and I'm guessing that's the bottom one so I chose 5
### answer: 5/5"
629,3/5+1/2,4/8,I chose 4/8 because 4 is half of 8 and it was like 1/2 and 3/5 was what I was adding. They're both around 1/2 so I was guessing the answer was around a half,Solve this fraction problem: 3/5+1/2=?,"I chose 4/8 because 4 is half of 8 and it was like 1/2 and 3/5 was what I was adding. They're both around 1/2 so I was guessing the answer was around a half
### answer: 4/8"
629,3/5:1/2,2/3,"I picked 2/3 because the 2 is in between 3 and 1, and 3 is in the middle of 5 and 2",Solve this fraction problem: 3/5:1/2=?,"I picked 2/3 because the 2 is in between 3 and 1, and 3 is in the middle of 5 and 2
### answer: 2/3"
