subjid,prob,resp,strategy,instruction_nl,response_nl
620,3/5*2/5,6/25,"I multiplied 3 times 2 and got 6, and 5 times 5 and got 25, and my answer was 6/25",Solve this fraction problem: 3/5*2/5=?,"I multiplied 3 times 2 and got 6, and 5 times 5 and got 25, and my answer was 6/25
### answer: 6/25"
620,3/5*1/2,3/10,"I did 3 times 1 which equaled 3, and 5 times 2 and it'd equal 10, and my answer was 3/10",Solve this fraction problem: 3/5*1/2=?,"I did 3 times 1 which equaled 3, and 5 times 2 and it'd equal 10, and my answer was 3/10
### answer: 3/10"
622,3/5+2/5,5/5,3 plus 2 is 5. If the denominators are the same you don't do anything to them. That is an improper fraction.,Solve this fraction problem: 3/5+2/5=?,"3 plus 2 is 5. If the denominators are the same you don't do anything to them. That is an improper fraction.
### answer: 5/5"
623,3/5*1/2,3/10,I found my common denominator which was 10 and then I multiplied 3 times 1 and got 3,Solve this fraction problem: 3/5*1/2=?,"I found my common denominator which was 10 and then I multiplied 3 times 1 and got 3
### answer: 3/10"
623,3/5-2/5,1/5,"I found my common denominator and it was 5, and then I subtracted 3 minus 2 and got 1",Solve this fraction problem: 3/5-2/5=?,"I found my common denominator and it was 5, and then I subtracted 3 minus 2 and got 1
### answer: 1/5"
624,3/5+2/5,1,"I added the numerators together, then I realized that was wrong",Solve this fraction problem: 3/5+2/5=?,"I added the numerators together, then I realized that was wrong
### answer: 1"
624,3/5+1/2,1 1/10,I did addition,Solve this fraction problem: 3/5+1/2=?,"I did addition
### answer: 1 1/10"
624,3/5*1/2,30/100,"I had to bring the fractions up, then multiply",Solve this fraction problem: 3/5*1/2=?,"I had to bring the fractions up, then multiply
### answer: 30/100"
624,3/5-2/5,1/5,I subtracted the numerators and got the denominators,Solve this fraction problem: 3/5-2/5=?,"I subtracted the numerators and got the denominators
### answer: 1/5"
624,3/5-1/2,1/10,"I got the denominators to the same thing by multiplying, and then I did the subtraction",Solve this fraction problem: 3/5-1/2=?,"I got the denominators to the same thing by multiplying, and then I did the subtraction
### answer: 1/10"
629,3/5+2/5,5/5,"I chose 5/5 because 3 plus 2 is 5, and I remembering hearing something stays the same, and I'm guessing that's the bottom one so I chose 5",Solve this fraction problem: 3/5+2/5=?,"I chose 5/5 because 3 plus 2 is 5, and I remembering hearing something stays the same, and I'm guessing that's the bottom one so I chose 5
### answer: 5/5"
629,3/5*2/5,6/25,"I multiplied 3 times 2 equals 6 and 5 times 5 is 25, so I got 6/25",Solve this fraction problem: 3/5*2/5=?,"I multiplied 3 times 2 equals 6 and 5 times 5 is 25, so I got 6/25
### answer: 6/25"
629,3/5-2/5,1/5,"I chose 1/5 as my answer and I chose that because 3 minus 2 is 1, and 5 minus 5 is 0 but I picked 5 anyway",Solve this fraction problem: 3/5-2/5=?,"I chose 1/5 as my answer and I chose that because 3 minus 2 is 1, and 5 minus 5 is 0 but I picked 5 anyway
### answer: 1/5"
630,3/5+2/5,1,"I thought 3/5 and 2/5 would be one whole, I guessed on that one",Solve this fraction problem: 3/5+2/5=?,"I thought 3/5 and 2/5 would be one whole, I guessed on that one
### answer: 1"
630,3/5*1/2,3/10,I thought 3 times 1 would be 3 and 5  times 2 would be 10 so I put 3/10,Solve this fraction problem: 3/5*1/2=?,"I thought 3 times 1 would be 3 and 5  times 2 would be 10 so I put 3/10
### answer: 3/10"
630,3/5-2/5,1/5,"I knew that the 5 for the bottom part was the same, cause they're both 5, and 3/5 minus 2/5 would be 1/5",Solve this fraction problem: 3/5-2/5=?,"I knew that the 5 for the bottom part was the same, cause they're both 5, and 3/5 minus 2/5 would be 1/5
### answer: 1/5"
