problem_id,problem_set_id,problem_part,problem_type,answer_types,normalized_text,math_preserving_text,answer_key,domain_family,node_codes,node_names,total_interactions,unique_students,clean_first_attempt_interactions,nonempty_answer_count,saw_answer_rate,mean_hint_count,discrete_score_mean,top_answer_surfaces_json,split,reason_codes
88,PSBBH,1,Fill-in-the-blank(s),Numeric,Calculate (1.6) · (0.215).,Calculate (1.6) * (0.215).,0.344,decimal,6.NS.B.3,"Add, Subtract, Multiply & Divide Multi-Digit Decimals",334,311,274,334,0.1526946107784431,0.0838323353293413,0.6077844311377245,"[{""answer_norm"": ""0.344"", ""n"": 133}, {""answer_norm"": "".3440"", ""n"": 33}, {""answer_norm"": ""0.3440"", ""n"": 32}, {""answer_norm"": "".344"", ""n"": 20}, {""answer_norm"": ""0.334"", ""n"": 15}]",model_dev,
93,PSBCC,1,Fill-in-the-blank(s),Numeric,"Given the equation y = ‐ 3 x + 2 . 5 : When x is 1, what value of y makes the equation true? y =","Given the equation y = - 3 x + 2.5: When x is 1, what value of y makes the equation true? y =",-0.5,ratio_percent,6.EE.A.2c | 7.NS.A.1d | 7.NS.A.2c,Evaluate Expression in Real-World Context | Apply Properties of Operations to Add/Subtract Rational Numbers | Apply Properties of Operations to Multiply/Divide Rational Numbers,97,94,76,97,0.2164948453608247,0.1443298969072164,0.5876288659793815,"[{""answer_norm"": ""-0.5"", ""n"": 51}, {""answer_norm"": ""-.5"", ""n"": 13}, {""answer_norm"": ""0.5"", ""n"": 6}, {""answer_norm"": ""5.5"", ""n"": 6}, {""answer_norm"": "".5"", ""n"": 3}]",validation,
95,PSBB9,1,Fill-in-the-blank(s),Numeric,"There are 12 inches in 1 foot and 5,280 feet in 1 mile. Jada ran 3 1 4 miles. How many feet is that? feet","There are 12 inches in 1 foot and 5,280 feet in 1 mile. Jada ran 3 1 / 4 miles. How many feet is that? feet",17160,other,5.MD.A.1,Convert Among Standard Measurement Units,47,47,44,47,0.0,0.1063829787234042,0.8297872340425532,"[{""answer_norm"": ""17160"", ""n"": 34}, {""answer_norm"": ""17,160"", ""n"": 7}, {""answer_norm"": ""12952"", ""n"": 1}, {""answer_norm"": ""15840"", ""n"": 1}, {""answer_norm"": ""17220"", ""n"": 1}]",model_dev,
207,PSBCC,2,Fill-in-the-blank(s),Numeric,"Given the equation y = ‐ 3 x + 2 . 5 : When x is -1.5, what value of y makes the equation true? y =","Given the equation y = - 3 x + 2.5: When x is -1.5, what value of y makes the equation true? y =",7,ratio_percent,6.EE.A.2c | 7.NS.A.1d | 7.NS.A.2c,Evaluate Expression in Real-World Context | Apply Properties of Operations to Add/Subtract Rational Numbers | Apply Properties of Operations to Multiply/Divide Rational Numbers,97,94,80,97,0.1752577319587628,0.1030927835051546,0.6288659793814433,"[{""answer_norm"": ""7"", ""n"": 66}, {""answer_norm"": ""-2"", ""n"": 8}, {""answer_norm"": ""1"", ""n"": 4}, {""answer_norm"": ""2"", ""n"": 2}, {""answer_norm"": ""4.5"", ""n"": 2}]",validation,
311,PSBC5,2,Fill-in-the-blank(s),Numeric,"A builder was building a fence. In the morning, he worked for 2 5 of an hour. In the afternoon, he worked for 9 10 of an hour. How many times as long as in the morning did he work in the afternoon? Answer the question. times as long","A builder was building a fence. In the morning, he worked for 2 / 5 of an hour. In the afternoon, he worked for 9 / 10 of an hour. How many times as long as in the morning did he work in the afternoon? Answer the question. times as long",2 1/4,fraction,6.NS.A.1,Interpret & Compute using Division of Fractions,450,400,298,450,0.3133333333333333,0.1933333333333333,0.5044444444444445,"[{""answer_norm"": ""2 1/4"", ""n"": 155}, {""answer_norm"": ""45/20"", ""n"": 51}, {""answer_norm"": ""20/45"", ""n"": 27}, {""answer_norm"": ""4/9"", ""n"": 25}, {""answer_norm"": ""9/4"", ""n"": 25}]",test,
312,PSBCC,3,Fill-in-the-blank(s),Numeric,"Given the equation y = ‐ 3 x + 2 . 5 : When y is 8.5, what value of x makes the equation true? y =","Given the equation y = - 3 x + 2.5: When y is 8.5, what value of x makes the equation true? y =",-2,ratio_percent,6.EE.A.2c | 7.NS.A.1d | 7.NS.A.2c,Evaluate Expression in Real-World Context | Apply Properties of Operations to Add/Subtract Rational Numbers | Apply Properties of Operations to Multiply/Divide Rational Numbers,97,94,76,97,0.2061855670103092,0.1134020618556701,0.4432989690721649,"[{""answer_norm"": ""-2"", ""n"": 50}, {""answer_norm"": ""-23"", ""n"": 10}, {""answer_norm"": ""2"", ""n"": 7}, {""answer_norm"": ""5.5"", ""n"": 3}, {""answer_norm"": ""3.4"", ""n"": 2}]",validation,
457,PSBEV,1,Fill-in-the-blank(s),Numeric,A circular field has area 14400 π square feet. What is the radius of the field? feet,A circular field has area 14400 pi square feet. What is the radius of the field? feet,120,equation_algebra,7.G.B.4,Solve Problems Involving Area & Circumference of Circles,81,77,51,81,0.3333333333333333,0.2469135802469135,0.2098765432098765,"[{""answer_norm"": ""120"", ""n"": 30}, {""answer_norm"": ""67.7"", ""n"": 10}, {""answer_norm"": ""7200"", ""n"": 4}, {""answer_norm"": ""3600"", ""n"": 3}, {""answer_norm"": ""100"", ""n"": 1}]",test,
503,PSBFF,2,Fill-in-the-blank(s),Numeric,"Diego has $11 and begins saving $5 each week toward buying a new phone. At the same time that Diego begins saving, Lin has $60 and begins spending $2 per week on supplies for her art class. After how many weeks will Diego and Lin have the same amount of money? After weeks","Diego has $11 and begins saving $5 each week toward buying a new phone. At the same time that Diego begins saving, Lin has $60 and begins spending $2 per week on supplies for her art class. After how many weeks will Diego and Lin have the same amount of money? After weeks",7,equation_algebra,8.EE.C.8c,Solve Systems of Linear Equations Word Problems,795,786,567,795,0.2779874213836478,0.1371069182389937,0.6050314465408805,"[{""answer_norm"": ""7"", ""n"": 552}, {""answer_norm"": ""6"", ""n"": 29}, {""answer_norm"": ""5"", ""n"": 27}, {""answer_norm"": ""8"", ""n"": 25}, {""answer_norm"": ""16"", ""n"": 17}]",model_dev,
569,PSBEV,2,Fill-in-the-blank(s),Numeric,A circular field has area 14400 π square feet. What is the diameter of the field? feet,A circular field has area 14400 pi square feet. What is the diameter of the field? feet,240,equation_algebra,7.G.B.4,Solve Problems Involving Area & Circumference of Circles,80,77,62,80,0.1625,0.1625,0.4,"[{""answer_norm"": ""240"", ""n"": 43}, {""answer_norm"": ""135.41"", ""n"": 5}, {""answer_norm"": ""60"", ""n"": 4}, {""answer_norm"": ""7200"", ""n"": 4}, {""answer_norm"": ""135.4"", ""n"": 3}]",test,
662,PSBEV,3,Fill-in-the-blank(s),Numeric,"A circular field has area 14400 π square feet. What is the circumference of the field, to the nearest foot? feet","A circular field has area 14400 pi square feet. What is the circumference of the field, to the nearest foot? feet",754,equation_algebra,7.G.B.4,Solve Problems Involving Area & Circumference of Circles,79,76,54,79,0.2911392405063291,0.2531645569620253,0.2278481012658227,"[{""answer_norm"": ""754"", ""n"": 31}, {""answer_norm"": ""425.39"", ""n"": 4}, {""answer_norm"": ""480"", ""n"": 4}, {""answer_norm"": ""753.6"", ""n"": 4}, {""answer_norm"": ""120"", ""n"": 2}]",test,
